cell,phase,spec_a,spec_b,n_genes,spearman_logFC,pearson_logFC,spearman_rankmetric,pct_same_sign_logFC
TCD4_cells,post,dep,A0,2869,0.14056153847947997,0.21056211837159822,0.12575805305421017,54.75775531544092
TCD4_cells,post,dep,A,2869,0.049256633547164606,0.14600521894283688,0.04916762290256026,50.57511327988846
TCD4_cells,post,dep,B,2869,0.11281075362940297,0.2016927399910387,0.1300124546404185,53.78180550714534
TCD4_cells,post,dep,T,2869,0.13397549775534298,0.152192027103213,0.13359841228754735,54.75775531544092
TCD4_cells,post,A0,A,2869,0.9314325470717078,0.9564795564326655,0.924483603780102,77.34402230742418
TCD4_cells,post,A0,B,2869,0.8571540902478919,0.8597377511294952,0.8555938822861551,72.95224817009411
TCD4_cells,post,A0,T,2869,0.9593790270835263,0.8481070612283792,0.972416060754746,100.0
TCD4_cells,post,A,B,2869,0.9356759675939605,0.9213907629717273,0.9289767070697834,91.8438480306727
TCD4_cells,post,A,T,2869,0.9411293128414517,0.8610040627698738,0.9526311165332916,77.34402230742418
TCD4_cells,post,B,T,2869,0.8764266151375456,0.7899004104694591,0.888915733352876,72.95224817009411
