x,y,cell_type
0.91572,18.92581,B cells
3.60483,18.7251,B cells
2.04703,18.35397,B cells
1.58758,20.88347,B cells
0.52903,20.62078,B cells
1.50042,18.30125,B cells
2.06683,19.30562,B cells
3.18433,18.87156,B cells
1.25267,20.98982,B cells
1.34789,21.40563,B cells
2.12632,20.15622,B cells
2.8481,20.27312,B cells
1.92218,18.6939,B cells
3.54928,19.20645,B cells
2.03059,19.25097,B cells
-0.86614,19.21743,B cells
2.2426,19.07809,B cells
3.07488,19.99207,B cells
1.06074,19.06474,B cells
3.48894,18.90494,B cells
0.72771,19.40644,B cells
1.01608,17.71851,B cells
1.39448,18.45924,B cells
2.31101,18.97198,B cells
2.83344,18.58265,B cells
1.63823,19.14863,B cells
1.19338,19.61021,B cells
1.14302,19.36361,B cells
0.21995,18.73577,B cells
1.10784,18.79797,B cells
3.38661,19.27333,B cells
2.32875,20.99999,B cells
3.345,18.81282,B cells
1.7937,18.60471,B cells
2.3452,21.28545,B cells
0.93831,19.3174,B cells
0.52509,17.98646,B cells
1.7143,20.84414,B cells
2.20617,19.44551,B cells
0.43634,19.0295,B cells
3.15592,18.57676,B cells
1.83712,20.11771,B cells
2.42777,19.15317,B cells
2.05705,19.30737,B cells
1.89261,19.2061,B cells
3.44429,18.18441,B cells
1.47841,19.22347,B cells
1.80329,19.29309,B cells
2.33244,19.456,B cells
2.45807,20.73819,B cells
0.28992,18.72752,B cells
2.61783,18.25511,B cells
1.56424,18.69767,B cells
2.1186,18.90262,B cells
2.25118,18.60516,B cells
1.82539,19.74651,B cells
1.77415,20.50901,B cells
0.92183,21.06654,B cells
1.95142,19.69143,B cells
1.74966,18.65587,B cells
2.66834,18.33514,B cells
2.98071,19.19954,B cells
2.28616,20.9287,B cells
1.23465,18.90922,B cells
2.28615,18.42216,B cells
2.48259,19.63126,B cells
2.25836,19.01438,B cells
1.45648,20.2604,B cells
2.71879,19.97905,B cells
0.76568,18.61418,B cells
0.0688,17.23425,B cells
-0.1007,19.66985,B cells
0.18607,18.61333,B cells
0.70522,20.81424,B cells
3.35208,20.70728,B cells
0.09557,18.42544,B cells
-0.35083,17.71698,B cells
1.35302,19.64494,B cells
2.88168,18.20835,B cells
2.8394,21.29842,B cells
1.40413,18.92521,B cells
2.31747,18.40343,B cells
0.84887,18.62932,B cells
1.98788,17.9736,B cells
0.9553,18.39818,B cells
3.82994,19.6851,B cells
3.49489,20.86727,B cells
2.17131,17.96648,B cells
1.83984,20.23274,B cells
1.94412,19.5313,B cells
0.93652,18.16713,B cells
1.49958,18.92441,B cells
1.7657,18.87629,B cells
3.1764,18.81486,B cells
-0.02786,18.9351,B cells
0.03623,18.29056,B cells
2.98947,19.22165,B cells
2.59775,20.89393,B cells
1.97202,20.06948,B cells
1.36195,18.35101,B cells
2.21559,18.52942,B cells
2.57888,19.37973,B cells
2.67769,19.82333,B cells
